"Seed","Configuration_ID","Model_1","Model_2","Disagreement_Rate","Double_Fault_Rate","Both_Correct_Rate","Model_1_Only_Correct_Rate","Model_2_Only_Correct_Rate","Q_Statistic"
700,"SpambasePrefilter5of6OOFThresholds","ElasticNet","GAM",0.0598476605005441,0.0402611534276387,0.899891186071817,0.0261153427638738,0.0337323177366703,0.952525284752576
700,"SpambasePrefilter5of6OOFThresholds","ElasticNet","MARS",0.073993471164309,0.029379760609358,0.896626768226333,0.029379760609358,0.044613710554951,0.905202312138728
700,"SpambasePrefilter5of6OOFThresholds","ElasticNet","RandomForest",0.0652883569096844,0.0272034820457018,0.907508161044614,0.0184983677910773,0.0467899891186072,0.932255224503035
700,"SpambasePrefilter5of6OOFThresholds","ElasticNet","XGBoost",0.0718171926006529,0.0272034820457018,0.900979325353645,0.0250272034820457,0.0467899891186072,0.908801696712619
700,"SpambasePrefilter5of6OOFThresholds","ElasticNet","SVM",0.0478781284004353,0.0489662676822633,0.903155603917301,0.0228509249183896,0.0250272034820457,0.974466735389739
700,"SpambasePrefilter5of6OOFThresholds","GAM","MARS",0.0663764961915125,0.029379760609358,0.904243743199129,0.029379760609358,0.0369967355821545,0.921387283236994
700,"SpambasePrefilter5of6OOFThresholds","GAM","RandomForest",0.0533188248095756,0.029379760609358,0.917301414581066,0.0163220892274211,0.0369967355821545,0.956168621889906
700,"SpambasePrefilter5of6OOFThresholds","GAM","XGBoost",0.0533188248095756,0.0326441784548422,0.914036996735582,0.0195865070729053,0.0337323177366703,0.956673654786862
700,"SpambasePrefilter5of6OOFThresholds","GAM","SVM",0.044613710554951,0.0467899891186072,0.908596300326442,0.0250272034820457,0.0195865070729053,0.977202015473994
700,"SpambasePrefilter5of6OOFThresholds","MARS","RandomForest",0.0369967355821545,0.0337323177366703,0.929270946681175,0.0119695321001088,0.0250272034820457,0.981067834025517
700,"SpambasePrefilter5of6OOFThresholds","MARS","XGBoost",0.0326441784548422,0.0391730141458107,0.928182807399347,0.0130576713819369,0.0195865070729053,0.986030267753201
700,"SpambasePrefilter5of6OOFThresholds","MARS","SVM",0.0652883569096844,0.0326441784548422,0.902067464635473,0.0391730141458107,0.0261153427638738,0.932851480531592
700,"SpambasePrefilter5of6OOFThresholds","RandomForest","XGBoost",0.0261153427638738,0.0359085963003264,0.9379760609358,0.0163220892274211,0.00979325353645267,0.990553164689829
700,"SpambasePrefilter5of6OOFThresholds","RandomForest","SVM",0.058759521218716,0.029379760609358,0.911860718171926,0.0424374319912949,0.0163220892274211,0.949592865451725
700,"SpambasePrefilter5of6OOFThresholds","XGBoost","SVM",0.0674646354733406,0.0282916213275299,0.904243743199129,0.043525571273123,0.0239390642002176,0.92172907586943
