"Seed","Configuration_ID","Test_Observations","Prefilter_Stack_BA","Standard_Stack_BA","Hard_Vote_BA","XGBoost_BA","Prefilter_Stack_Accuracy","Standard_Stack_Accuracy","Hard_Vote_Accuracy","XGBoost_Accuracy","Direct_Vote_Rate","Cases_Sent_To_Meta","Meta_Route_Accuracy","Direct_Route_Accuracy","Prefilter_Minus_Standard","Prefilter_Minus_Hard_Vote","Prefilter_Minus_XGBoost"
1100,"SpambasePrefilter5of6OOFThresholds",919,0.940887945485384,0.938264380015275,0.93853963121299,0.93336193300733,0.941240478781284,0.936887921653972,0.940152339499456,0.930359085963003,0.947769314472252,48,0.604166666666667,0.959816303099885,0.00262356547010922,0.00234831427239457,0.00752601247805429
1200,"SpambasePrefilter5of6OOFThresholds",919,0.943650376424611,0.947932888302568,0.942269160954998,0.947724590098892,0.94341675734494,0.944504896626768,0.942328618063112,0.947769314472252,0.94885745375408,47,0.659574468085106,0.958715596330275,-0.00428251187795714,0.00138121546961323,-0.00407421367428107
1300,"SpambasePrefilter5of6OOFThresholds",919,0.946896356765228,0.952007101976849,0.946757491296111,0.900356586686769,0.945593035908596,0.94885745375408,0.947769314472252,0.88683351468988,0.945593035908596,50,0.6,0.965477560414269,-0.00511074521162114,0.000138865469117233,0.0465397700784589
1400,"SpambasePrefilter5of6OOFThresholds",919,0.948622256167115,0.950487021038119,0.948622256167115,0.947794022833451,0.94885745375408,0.949945593035909,0.94885745375408,0.946681175190424,0.944504896626768,51,0.686274509803922,0.964285714285714,-0.00186476487100384,0,0.000828233333663997
1500,"SpambasePrefilter5of6OOFThresholds",919,0.94420335856056,0.9514541198409,0.946482240098396,0.944686907961951,0.942328618063112,0.949945593035909,0.944504896626768,0.942328618063112,0.931447225244831,63,0.666666666666667,0.962616822429907,-0.00725076128033963,-0.00227888153783584,-0.000483549401390615
1600,"SpambasePrefilter5of6OOFThresholds",919,0.959394248985786,0.960430780523126,0.95663181804656,0.959947231121735,0.961915125136017,0.960826985854189,0.959738846572361,0.960826985854189,0.967355821545158,30,0.633333333333333,0.973003374578178,-0.00103653153733996,0.00276243093922646,-0.000552982135949343
1700,"SpambasePrefilter5of6OOFThresholds",919,0.932117103266314,0.933014769334537,0.928457006258865,0.92921828659849,0.934711643090316,0.935799782372144,0.931447225244831,0.927094668117519,0.949945593035909,46,0.652173913043478,0.949599083619702,-0.000897666068222613,0.00366009700744918,0.00289881666782388
1800,"SpambasePrefilter5of6OOFThresholds",919,0.931978237797197,0.937158415743377,0.931564121130365,0.920033327712588,0.936887921653972,0.939064200217628,0.935799782372144,0.919477693144722,0.944504896626768,51,0.627450980392157,0.955069124423963,-0.00518017794617975,0.000414116666831887,0.0119449100846086
1900,"SpambasePrefilter5of6OOFThresholds",919,0.945651527024212,0.942891575825506,0.94627394189472,0.945929257962447,0.949945593035909,0.940152339499456,0.947769314472252,0.945593035908596,0.955386289445049,41,0.682926829268293,0.962414578587699,0.00275995119870653,-0.000622414870507959,-0.000277730938234577
2000,"SpambasePrefilter5of6OOFThresholds",919,0.95193518950177,0.963054345993235,0.954905918644673,0.955320035311505,0.957562568008705,0.965179542981502,0.956474428726877,0.957562568008705,0.944504896626768,51,0.705882352941177,0.972350230414747,-0.0111191564914648,-0.00297072914290253,-0.00338484580973453
